problem,team,final_answer
1_DIVALL,team_1,300000
1_DIVALL,team_2,998002
1_DIVALL,team_3,998285
1_DIVALL,team_4,998285
1_DIVALL,team_5,998285
1_DIVALL,team_6,300000
1_DIVALL,model_1,998285
1_DIVALL,model_2,998285
1_DIVALL,model_3,502945
1_DIVALL,model_4,998285
1_DIVALL,model_5,998285
1_DIVALL,model_6,998285
1_DIVALL,model_7,998285
1_DIVALL,model_8,998285
2_ALTORO,team_1,437
2_ALTORO,team_2,19
2_ALTORO,team_3,216
2_ALTORO,team_4,216
2_ALTORO,team_5,
2_ALTORO,team_6,19
2_ALTORO,model_1,19
2_ALTORO,model_2,216
2_ALTORO,model_3,19
2_ALTORO,model_4,19
2_ALTORO,model_5,216
2_ALTORO,model_6,216
2_ALTORO,model_7,216
2_ALTORO,model_8,216
3_SINDEX,team_1,4
3_SINDEX,team_2,12
3_SINDEX,team_3,32
3_SINDEX,team_4,32
3_SINDEX,team_5,
3_SINDEX,team_6,4
3_SINDEX,model_1,12
3_SINDEX,model_2,32
3_SINDEX,model_3,12
3_SINDEX,model_4,8
3_SINDEX,model_5,32
3_SINDEX,model_6,32
3_SINDEX,model_7,32
3_SINDEX,model_8,32
4_COLOUR,team_1,1
4_COLOUR,team_2,2050313
4_COLOUR,team_3,3
4_COLOUR,team_4,1
4_COLOUR,team_5,1
4_COLOUR,team_6,2050313
4_COLOUR,model_1,0
4_COLOUR,model_2,1026168
4_COLOUR,model_3,2050313
4_COLOUR,model_4,820125
4_COLOUR,model_5,1026168
4_COLOUR,model_6,
4_COLOUR,model_7,1025156
4_COLOUR,model_8,2025
5_POLYGO,team_1,35
5_POLYGO,team_2,38
5_POLYGO,team_3,6150968
5_POLYGO,team_4,6150968
5_POLYGO,team_5,6150968
5_POLYGO,team_6,35
5_POLYGO,model_1,6150969
5_POLYGO,model_2,6150968
5_POLYGO,model_3,35
5_POLYGO,model_4,35
5_POLYGO,model_5,6150968
5_POLYGO,model_6,6150968
5_POLYGO,model_7,6150968
5_POLYGO,model_8,6150968
6_AMAZIN,team_1,2030
6_AMAZIN,team_2,2030
6_AMAZIN,team_3,1164
6_AMAZIN,team_4,30162
6_AMAZIN,team_5,
6_AMAZIN,team_6,2030
6_AMAZIN,model_1,2022
6_AMAZIN,model_2,31070
6_AMAZIN,model_3,2030
6_AMAZIN,model_4,31196
6_AMAZIN,model_5,31070
6_AMAZIN,model_6,
6_AMAZIN,model_7,31070
6_AMAZIN,model_8,1117015294
